colour	x	y	showSelectedlegendcolour	fill
#F564E3	-112.06694	33.44528	NL: West	#F564E3
#00BFC4	-84.468	33.89	NL: East	#00BFC4
#00BA38	-76.62167	39.28389	AL: East	#00BA38
#00BA38	-71.0975	42.34639	AL: East	#00BA38
#B79F00	-87.65556	41.94833	NL: Central	#B79F00
#F8766D	-87.63389	41.83	AL: Central	#F8766D
#B79F00	-84.50667	39.0975	NL: Central	#B79F00
#F8766D	-81.68528	41.49583	AL: Central	#F8766D
#F564E3	-104.99417	39.75611	NL: West	#F564E3
#F8766D	-83.04861	42.33917	AL: Central	#F8766D
#00BFC4	-80.21972	25.77806	NL: East	#00BFC4
#F564E3	-95.35556	29.75694	NL: West	#F564E3
#F8766D	-94.48056	39.05139	AL: Central	#F8766D
#619CFF	-117.88278	33.80028	AL: West	#619CFF
#F564E3	-118.24	34.07361	NL: West	#F564E3
#B79F00	-87.97111	43.02833	NL: Central	#B79F00
#F8766D	-93.27833	44.98167	AL: Central	#F8766D
#00BFC4	-73.84583	40.75694	NL: East	#00BFC4
#00BA38	-73.92639	40.82917	AL: East	#00BA38
#619CFF	-122.20056	37.75167	AL: West	#619CFF
#00BFC4	-75.16639	39.90583	NL: East	#00BFC4
#B79F00	-80.00583	40.44694	NL: Central	#B79F00
#F564E3	-117.15667	32.70722	NL: West	#F564E3
#F564E3	-122.38917	37.77861	NL: West	#F564E3
#619CFF	-122.3325	47.59139	AL: West	#619CFF
#B79F00	-90.19306	38.6225	NL: Central	#B79F00
#00BA38	-82.65333	27.76833	AL: East	#00BA38
#619CFF	-97.08278	32.75139	AL: West	#619CFF
#00BA38	-79.38917	43.64139	AL: East	#00BA38
#00BFC4	-77.0075	38.87278	NL: East	#00BFC4
