App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Baby Food - Homemade Recipes,PARENTING,4.1,44,3.6,"10,000+",Free,0,Everyone,Parenting,7-Aug-18,8.2,4.0.3 and up
The Walking Zombie: Dead City,GAME,4.6,58575,96,"1,000,000+",Free,0,Teen,Action,21-Feb-18,2.55,4.1 and up
Best Applock - Locker & No Ads,PRODUCTIVITY,4.7,10672,6.9,"100,000+",Free,0,Everyone,Productivity,23-Jun-18,2.1.1,4.1 and up
Bluetooth Pair,TOOLS,3.5,1960,2.7,"1,000,000+",Free,0,Everyone,Tools,4-Aug-18,2.5,4.1 and up
Middlesbrough FC Official,SPORTS,4.5,152,36,"10,000+",Free,0,Everyone,Sports,29-May-18,2018.5.25,4.4 and up
"FastMeet: Chat, Dating, Love",DATING,4.2,22545,5.9,"1,000,000+",Free,0,Mature 17+,Dating,27-Jul-18,1.31.4,4.0.3 and up
Es-Bg Offline Voice Translator,TRAVEL_AND_LOCAL,NaN,1,87,10+,Paid,$1.49,Everyone,Travel & Local,19-Mar-17,2.55,3.0 and up
Hand Doctor Games ER Surgery Simulator,FAMILY,4.1,120,32,"10,000+",Free,0,Everyone,Casual,13-Mar-18,2,4.1 and up
BL Driver,MAPS_AND_NAVIGATION,3.9,230,12,"10,000+",Free,0,Everyone,Maps & Navigation,13-Jul-18,2.12.1,4.1 and up
Hidden Objects Treasure Hunt Adventure Games,FAMILY,4.3,275,29,"10,000+",Free,0,Everyone,Puzzle,9-Jul-18,1.0.1,4.4 and up
FH School,FAMILY,5,4,5.8,100+,Free,0,Everyone,Education,11-Apr-18,1.0.1,4.0.3 and up
PlacarTv Futebol Ao Vivo,COMMUNICATION,4.1,2063,4.5,"100,000+",Free,0,Everyone,Communication,3-Jun-18,1.0.3,4.0 and up
Co-op Credit Union on the Go,FINANCE,4.4,5,30,"1,000+",Free,0,Everyone,Finance,25-Apr-18,18.1.79,5.0 and up
Hypertension Hi blood pressure,MEDICAL,3.8,292,2.7,"100,000+",Free,0,Everyone,Medical,16-Apr-18,43,4.0.3 and up
Cycling - Bike Tracker,HEALTH_AND_FITNESS,4.5,9116,4,"500,000+",Free,0,Everyone,Health & Fitness,30-Jul-18,1.1.22,4.1 and up
Google News,NEWS_AND_MAGAZINES,3.9,878065,13,"1,000,000,000+",Free,0,Teen,News & Magazines,1-Aug-18,5.2.0,4.4 and up
Font Studio- Photo Texts Image,PHOTOGRAPHY,4.2,197295,24,"10,000,000+",Free,0,Everyone,Photography,23-Jun-17,4.0.7,4.0 and up
ChatVideo Meet new people,DATING,4.2,63986,20,"5,000,000+",Free,0,Mature 17+,Dating,31-May-18,3.0.15,4.0 and up
F-Stop Gallery Pro,PHOTOGRAPHY,4.4,1302,0.058,"10,000+",Paid,$4.99,Everyone,Photography,5-Aug-15,3.2,2.2 and up
Leghe Fantagazzetta,SPORTS,4.1,79464,27,"1,000,000+",Free,0,Everyone,Sports,6-Aug-18,5.0.8,4.4 and up
Multi Surgery ER Emergency Hospital : Doctor Game,FAMILY,4.1,227,69,"10,000+",Free,0,Teen,Educational,21-Jun-18,1.2,4.0 and up
"CR Fans: Mazos, Clanes y Grupos",FAMILY,4.3,219,4.3,"5,000+",Free,0,Everyone,Entertainment,21-Dec-17,1.0.7,2.3 and up
CF Townsville,HEALTH_AND_FITNESS,5,4,14,100+,Free,0,Everyone,Health & Fitness,9-Jul-18,4.2.2,4.1 and up
The FP Shield,NEWS_AND_MAGAZINES,NaN,0,11,10+,Free,0,Everyone,News & Magazines,1-Feb-18,1.1.0,4.4 and up
Gold Teeth Photo Editor,PHOTOGRAPHY,2.8,1022,3.8,"100,000+",Free,0,Everyone,Photography,24-Aug-16,2,2.3 and up
Navigator PRO - GPS Navigation with Offline Maps,TRAVEL_AND_LOCAL,3.6,892,70,"50,000+",Paid,$2.49,Everyone,Travel & Local,1-Aug-18,1.08,4.0 and up
HON. B.J. ACS COLLEGE ALE,FAMILY,5,3,1.8,100+,Free,0,Mature 17+,Education,26-Dec-16,3.1,4.3 and up
