title,audience_score,type,genre,runtime,year,mpaa_rating,imdb_num_votes,critics_score,critics_rating,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,audience_rating,director,actor1,actor2,actor3,actor4,actor5,rt_url,imdb_url,imdb_id
Branded,23,Feature Film,Drama,106,2012,R,5743,10,Rotten,no,no,no,no,no,no,Spilled,Jamie Bradshaw,Ed Stoppard,Leelee Sobieski,Jeffrey Tambor,Ingeborga Dapkunaite,Max von Sydow,http://www.rottentomatoes.com/m/branded_2012/,http://www.imdb.com/title/tt1368440/,1368440
Loose Cannons,29,Feature Film,Action & Adventure,94,1990,R,2969,0,Rotten,no,no,yes,no,no,no,Spilled,Bob Clark,Gene Hackman,Dan Aykroyd,Dom DeLuise,Ronny Cox,Nancy Travis,http://www.rottentomatoes.com/m/loose_cannons/,http://www.imdb.com/title/tt0100053/,100053
Patrick,52,Feature Film,Horror,112,1978,PG,1301,40,Rotten,no,no,no,no,no,no,Spilled,Richard Franklin,Susan Penhaligon,Robert Helpmann,Rod Mullinar,Bruce Barry,Julia Blake,http://www.rottentomatoes.com/m/1016035-patrick/,http://www.imdb.com/title/tt0078067/,78067
Lawless,75,Feature Film,Drama,116,2012,R,112244,67,Fresh,no,no,no,no,no,no,Upright,John Hillcoat,Shia LaBeouf,Tom Hardy,Jason Clarke,Guy Pearce,Jessica Chastain,http://www.rottentomatoes.com/m/lawless_2012/,http://www.imdb.com/title/tt1212450/,1212450
Mr. Magorium's Wonder Emporium,55,Feature Film,Drama,93,2007,G,27301,37,Rotten,no,no,yes,yes,no,no,Spilled,Zach Helm,Dustin Hoffman,Natalie Portman,Jason Bateman,Zach Mills,Ted Ludzik,http://www.rottentomatoes.com/m/mr_magoriums_wonder_emporium/,http://www.imdb.com/title/tt0457419/,457419
You Light Up My Life,35,Feature Film,Drama,90,1977,PG,391,20,Rotten,no,no,no,no,no,no,Spilled,Joseph Brooks,Didi Conn,Joe Silver,Michael Zaslow,Stephen Nathan,Melanie Mayron,http://www.rottentomatoes.com/m/you_light_up_my_life/,http://www.imdb.com/title/tt0076941/,76941
Fubar,84,Feature Film,Documentary,76,2002,R,3106,55,Rotten,no,no,no,no,no,no,Upright,Michael Dowse,Paul Spence,Dave Lawrence,Gordon Skilling,NA,NA,http://www.rottentomatoes.com/m/fubar/,http://www.imdb.com/title/tt0302585/,302585
Heaven Help Us,66,Feature Film,Drama,104,1985,R,2622,40,Rotten,no,no,no,no,no,no,Upright,Michael Dinner,Donald Sutherland,John Heard,Andrew McCarthy,Mary Stuart Masterson,Kevin Dillon,http://www.rottentomatoes.com/m/heaven_help_us/,http://www.imdb.com/title/tt0089264/,89264
Every Which Way But Loose,55,Feature Film,Action & Adventure,110,1978,PG,12862,31,Rotten,no,no,no,no,no,yes,Spilled,James Fargo,Clint Eastwood,Sondra Locke,Geoffrey Lewis,Beverly D'Angelo,Ruth Gordon,http://www.rottentomatoes.com/m/every_which_way_but_loose/,http://www.imdb.com/title/tt0077523/,77523
March of the Penguins,76,Documentary,Documentary,80,2005,G,32136,94,Certified Fresh,no,no,no,no,no,no,Upright,Luc Jacquet,Morgan Freeman,Charles Berling,Ching-wen Chia,Hikari Ishida,Jules Sitruk,http://www.rottentomatoes.com/m/march_of_the_penguins/,http://www.imdb.com/title/tt0428803/,428803
Lisztomania,63,Feature Film,Drama,103,1975,R,1075,43,Rotten,no,no,no,no,no,no,Upright,Ken Russell,Roger Daltrey,Sara Kestelman,Paul Nicholas,Ringo Starr,Rick Wakeman,http://www.rottentomatoes.com/m/lisztomania/,http://www.imdb.com/title/tt0073298/,73298
The Jungle Book,52,Feature Film,Drama,111,1994,PG,9689,92,Fresh,no,no,no,no,no,yes,Spilled,Stephen Sommers,Jason Scott Lee,Cary Elwes,Lena Headey,Sam Neill,John Cleese,http://www.rottentomatoes.com/m/1057637-jungle_book/,http://www.imdb.com/title/tt0110213/,110213
Don Juan DeMarco,68,Feature Film,Drama,97,1994,PG-13,33885,74,Fresh,no,no,yes,yes,no,no,Upright,Jeremy Leven,Marlon Brando,Johnny Depp,Faye Dunaway,Geraldine Pailhas,Bob Dishy,http://www.rottentomatoes.com/m/don-juan-demarco/,http://www.imdb.com/title/tt0112883/,112883
The Protector,74,Feature Film,Drama,108,2005,R,23291,54,Rotten,no,no,no,no,no,no,Upright,Prachya Pinkaew,Tony Jaa,Petchtai Wongkamlao,Bongkoj Khongmalai,Xing Jing,Nathan Jones,http://www.rottentomatoes.com/m/protector/,http://www.imdb.com/title/tt0427954/,427954
Play Misty for Me,69,Feature Film,Mystery & Suspense,102,1971,R,14574,83,Fresh,no,no,no,no,yes,no,Upright,Clint Eastwood,Clint Eastwood,Jessica Walter,Donna Mills,John Larch,Clarice Taylor,http://www.rottentomatoes.com/m/play_misty_for_me/,http://www.imdb.com/title/tt0067588/,67588
Badlands,89,Feature Film,Drama,94,1973,PG,33654,98,Certified Fresh,no,no,no,yes,no,no,Upright,Terence Malick,Martin Sheen,Sissy Spacek,Warren Oates,Alan Vint,Ramon Bieri,http://www.rottentomatoes.com/m/1001577-badlands/,http://www.imdb.com/title/tt0069762/,69762
Kung Fu Panda,81,Feature Film,Action & Adventure,90,2008,PG,197490,87,Certified Fresh,no,no,yes,no,no,no,Upright,Angelina Jolie,Jack Black,Dustin Hoffman,Angelina Jolie,Ian McShane,Seth Rogen,http://www.rottentomatoes.com/m/kung_fu_panda/,http://www.imdb.com/title/tt0441773/,441773
Killing Me Softly,42,Feature Film,Drama,100,2002,R,11393,0,Rotten,no,no,no,no,no,no,Spilled,Kaige Chen,Heather Graham,Joseph Fiennes,Patrick Field,Ian Hart,Kika Markham,http://www.rottentomatoes.com/m/killing_me_softly/,http://www.imdb.com/title/tt0250468/,250468
Invasion U.S.A.,50,Feature Film,Mystery & Suspense,107,1985,PG,4536,27,Rotten,no,no,no,no,no,no,Spilled,Joseph Zito,Chuck Norris,Richard Lynch,Melissa Prophet,Alex Colon,Alexander Zale,http://www.rottentomatoes.com/m/1010685-invasion_usa/,http://www.imdb.com/title/tt0089348/,89348
