State,Gender,Handed,Height_cm,Armspan_cm,Travel_to_School,Travel_time_to_School,Score_in_memory_game,Importance_recycling_rubbish,Left_Footlength_cm,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Favorite_Music,Superpower,Preferred_Status
IN,Female,Right-Handed,160,153,Car,10,45,200,21,89,100,Ring finger,October,Fall,No,No,Tea,Art,7.5,9,3,Cell phone,10,20,30,5,5,2,2,0,60,20,1,20,15,2,Some,Rap/Hip hop,Fly,Happy
IN,Female,Right-Handed,148,155,Car,7,57,0,22,6.2,6.5,Ring finger,January,Fall,Yes,No,Soft drink (caffeinated),Music,5,10,6,"Myspace, Facebook, other social networking sites, or blog",30,60,80,2,4,3,2,50,4,3,5,8,24,6,Very little,Punk rock,Invisibility,Happy
IN,Male,Right-Handed,173,177,Bus,15,53,1000,29.21,635,698.5,Ring finger,July,Summer,Yes,No,Water,Mathematics and statistics,8,10,5,Cell phone,10,15,2,2,14,14,6,7,0,1,5,10,0,0,A lot,Other,Telepathy,Healthy
WA,Female,Right-Handed,165,165,Car,20,51,1000,24,71,72,Ring finger,June,Winter,No,Yes,Water,History,7,9,6,Internet chat or instant messaging,6,6,6,0,11,1,10,0,2,2,3,1,14,1,A lot,Rap/Hip hop,Telepathy,Happy
IN,Female,Right-Handed,165,162,Car,30,38,950,24,50.7,76.3,Ring finger,June,Fall,Yes,No,Tea,English,5,8,3,"Myspace, Facebook, other social networking sites, or blog",14,20,10,5,8,4,4,3,7,7,14,3,0,12,Some,Other,Telepathy,Rich
IN,Male,Right-Handed,180,188,Walk,10,37,700,26,85,75,Index finger,September,Fall,Yes,No,Water,Physical education,6,6,4,Text messaging,100,100,6,2,2,3,1,6,2,7,6,3,3,5,Some,Pop,Freeze time,Rich
WA,Male,Right-Handed,188,186,Car,25,46,818,27,80,80,Same length,September,Summer,No,No,Water,Art,9,11,3,Internet chat or instant messaging,4,4,8,0,2,3,13,0,15,15,15,5,0,2,Some,Country,Invisibility,Rich
IN,Female,Right-Handed,170,67,Car,11,33,578,10,75,70,Index finger,January,Summer,Yes,No,Water,Physical education,7,8,5,Text messaging,30,50,15,5,6,6,14,2,4,4,3,5,0,3,Some,Pop,Fly,Healthy
IN,Male,Right-Handed,170,179,Car,6,39,399,26,94,97,Ring finger,June,Fall,No,No,Water,History,8,10,4,Cell phone,200,300,8,1,20,8,10,0,8,8,8,0,6,6,A lot,Rap/Hip hop,Invisibility,Happy
IN,Male,Right-Handed,173,180,Car,10,44,15,61,133,84,Index finger,October,Spring,No,No,Water,Computers and technology,6,10,4,Text messaging,8,12,2,0,5,16,0,105,0,1,24,0,15,0,Some,Heavy metal,Fly,Happy
